sip_id,month,sip_inflow_crore,active_sip_accounts_crore,new_sip_accounts_lakh,sip_aum_lakh_crore,yoy_growth_pct
1,2022-01,11517,4.91,9.1,4.8,
2,2022-02,11438,4.93,8.2,4.85,
3,2022-03,12328,5.09,10.5,5.01,
4,2022-04,11863,5.48,9.52,5.12,
5,2022-05,12286,5.55,8.1,5.15,
6,2022-06,12276,5.6,7.5,5.18,
7,2022-07,12140,5.65,9.21,5.25,
8,2022-08,12694,5.71,8.9,5.31,
9,2022-09,12976,5.8,9.4,5.41,
10,2022-10,13040,5.93,9.52,5.55,
11,2022-11,13306,6.0,8.8,5.62,
12,2022-12,13573,6.05,7.6,5.7,
13,2023-01,13856,6.13,9.1,5.82,20.31
14,2023-02,13687,6.19,8.2,5.88,19.66
15,2023-03,14276,6.32,10.0,6.01,15.8
16,2023-04,14749,6.41,9.25,6.15,24.33
17,2023-05,14749,6.5,8.7,6.22,20.05
18,2023-06,14734,6.55,7.9,6.3,20.02
19,2023-07,15245,6.65,9.8,6.45,25.58
20,2023-08,15814,6.73,9.1,6.58,24.58
21,2023-09,16042,6.82,10.2,6.72,23.63
22,2023-10,16928,6.91,9.5,6.9,29.82
23,2023-11,17073,7.0,8.8,7.05,28.31
24,2023-12,17610,7.1,8.4,7.18,29.74
25,2024-01,18838,7.2,9.6,7.35,35.96
26,2024-02,19187,7.3,8.5,7.52,40.18
27,2024-03,20371,7.4,9.0,7.71,42.69
28,2024-04,20371,7.6,9.4,7.9,38.12
29,2024-05,21262,7.78,8.9,8.15,44.16
30,2024-06,21262,7.9,8.2,8.35,44.31
31,2024-07,23332,8.0,10.0,8.56,53.05
32,2024-08,23547,8.11,9.8,8.78,48.9
33,2024-09,24509,8.22,9.2,8.98,52.78
34,2024-10,25323,8.3,9.55,9.22,49.59
35,2024-11,25320,8.4,9.1,9.45,48.3
36,2024-12,26459,8.5,9.3,9.7,50.25
37,2025-01,26400,8.22,9.1,13.0,40.14
38,2025-02,25999,8.3,8.6,13.18,35.5
39,2025-03,25926,8.11,7.8,13.35,27.27
40,2025-04,26632,8.38,46.0,13.55,30.73
41,2025-05,26688,8.5,9.2,13.72,25.52
42,2025-06,27274,8.62,9.5,13.88,28.28
43,2025-07,28464,8.75,10.2,14.05,22.0
44,2025-08,28265,8.85,9.8,15.18,20.04
45,2025-09,29361,9.0,10.5,15.38,19.8
46,2025-10,29529,9.1,9.45,15.55,16.61
47,2025-11,30200,9.2,9.1,15.72,19.27
48,2025-12,31002,9.35,9.8,15.9,17.17
