scheme_name,fund_house,category,VaR_95,CVaR_95
SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,-10.739999999999998,-12.350999999999997
SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,-11.799999999999997,-13.569999999999995
SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,-17.86,-20.538999999999998
SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,-18.11,-20.8265
SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,-0.5299999999999994,-0.6094999999999993
HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,-8.259999999999998,-9.498999999999997
HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,-9.719999999999997,-11.177999999999995
HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,-14.77,-16.9855
HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,-16.06,-18.468999999999998
HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,0.7700000000000005,0.8855000000000005
ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,-11.559999999999999,-13.293999999999997
ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,-8.689999999999998,-9.993499999999997
ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,-13.27,-15.260499999999999
ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,-9.99,-11.4885
ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,6.8549999999999995,7.8832499999999985
Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,-9.099999999999998,-10.464999999999996
Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,-10.769999999999998,-12.385499999999997
Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,-21.1,-24.265
Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,-9.68,-11.132
Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,-1.29,-1.4834999999999998
Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,-10.849999999999998,-12.477499999999997
Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,-13.119999999999997,-15.087999999999996
Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,-10.749999999999998,-12.362499999999997
Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,5.3549999999999995,6.158249999999999
Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,-11.259999999999998,-12.948999999999996
Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,-10.959999999999997,-12.603999999999996
Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,-16.169999999999998,-18.595499999999998
Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,-20.27,-23.310499999999998
ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,-9.319999999999999,-10.717999999999998
ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,-18.87,-21.700499999999998
ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,4.3149999999999995,4.962249999999999
UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,-9.35,-10.7525
UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,-15.739999999999998,-18.100999999999996
UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,-11.059999999999999,-12.718999999999998
Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,-8.289999999999997,-9.533499999999997
Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,-11.839999999999998,-13.615999999999996
Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,-14.469999999999997,-16.640499999999996
DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,-10.279999999999998,-11.821999999999996
DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,-14.189999999999998,-16.318499999999997
DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,-21.17,-24.3455
